baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Mst1-TG1	Mst1-TG2	Mst1-TG3	Mst1-TG4	WT1	WT2	WT3	WT4
ENSMUSG00000018209.15 Stk4	18002.8127147925	5.88311453709201	0.0823747042587898	71.4189457798781	0	0	15.0843824654662	15.2412650918499	14.9746534679668	15.1757038163182	9.74176472148193	9.64624442074177	9.68634619774871	9.80876347563536
ENSMUSG00000041616.9 Nppa	69395.9940997244	4.79886263647371	0.124431065929969	38.5664351631816	0	0	16.8204981205186	17.2870603626921	17.1850521282361	16.7770332152121	12.4553608670423	12.1314296047653	12.4015139172629	12.2249576105314
ENSMUSG00000050010.8 Shisa3	1030.9650015506	5.52378873501787	0.144362172594189	38.263408175115	0	0	11.2866074520473	11.0489141074193	11.1926347858297	11.0675490306812	7.86000687030634	7.93720413915058	7.86265081579398	7.82404193071448
ENSMUSG00000029223.12 Uchl1	1202.80877407633	2.90912406415062	0.0831598176972743	34.9823285416603	4.17744555056248e-268	1.59808179536768e-264	11.2809006175957	11.2334176696937	11.1577554516664	11.1944201400063	9.0181514538126	9.0616030337566	8.90012252537638	9.03879142811559
ENSMUSG00000068196.5 Col8a1	3337.40631776616	2.97871658090102	0.0941042853079859	31.6533574550004	6.81802748410965e-220	2.08658913123692e-216	12.5745348367188	12.5022940194738	12.7897770065052	12.492026124122	9.89930652341097	10.0361139025358	9.86760774056416	10.0492627092347
ENSMUSG00000027022.14 Xirp2	32180.6969020177	4.29848705078692	0.147737686672466	29.0953997426307	4.10470947827124e-186	1.04683774060844e-182	16.0840799244392	15.9025580326901	15.959051370274	15.6559106912024	11.7265793918399	12.0328744243161	11.7540403938007	11.2635208841519
ENSMUSG00000028369.15 Svep1	1778.78434290245	2.35246488327165	0.0809405257971912	29.0641166474024	1.02053597917084e-185	2.23089165046745e-182	11.6649393996478	11.64403120659	11.7487198053081	11.5753687467175	9.72188189274764	9.66515352342899	9.5807939764673	9.79040525605764
ENSMUSG00000031748.16 Gnao1	1554.99155114371	1.92969465533896	0.0689988248261572	27.9670655290265	4.08844804932669e-172	7.82017900634963e-169	11.4890928099409	11.4039836383797	11.349869381085	11.3962616761012	9.79802382289619	9.86302235272004	9.79307126864087	9.75103839542786
ENSMUSG00000042254.14 Cilp	3903.97966824397	4.12325971756378	0.154555969804299	26.6781006439591	8.45111251445382e-157	1.43687692995747e-153	12.790259780887	12.9615796813631	13.1757359840359	12.6154880529708	9.20766720837588	9.59009809143982	9.15355876777317	9.48990728311892
ENSMUSG00000024132.6 Eci1	3652.72434582323	-1.6258334488765	0.061581230946213	-26.4014444644109	1.3188296472516e-153	2.0180731262244e-150	10.8982536614812	11.0631405756177	10.9661006939551	11.0575960257544	12.4878498873274	12.5343354988381	12.4813398089768	12.4832764929439
